time,population_size,avg_fitness,difficulty
0,18,0.5190794723970205,1.0
1,17,0.5330703051938661,1.005
2,16,0.5604188138707046,1.0099999999999998
3,13,0.5574352996953013,1.0149999999999997
4,12,0.555985890445939,1.0199999999999996
5,22,0.5431783698407453,1.0249999999999995
6,17,0.5511471140273081,1.0299999999999994
7,13,0.5570132687011051,1.0349999999999993
8,11,0.5685077190449292,1.0399999999999991
9,18,0.5719378475436642,1.044999999999999
10,16,0.5515682842425506,1.049999999999999
11,11,0.5651024786059615,1.0549999999999988
12,9,0.5687665047455452,1.0599999999999987
13,8,0.5691232364584787,1.0649999999999986
14,14,0.5901872798699657,1.0699999999999985
15,10,0.6132415737908502,1.0749999999999984
16,9,0.6345267561478259,1.0799999999999983
17,8,0.6219808064222324,1.0849999999999982
18,14,0.634932911494895,1.089999999999998
19,13,0.6272435697673812,1.094999999999998
20,10,0.6649213442321986,1.0999999999999979
21,9,0.6571465653743792,1.1049999999999978
22,8,0.6474280918021049,1.1099999999999977
23,14,0.6640155233576063,1.1149999999999975
24,10,0.6863585019927686,1.1199999999999974
25,8,0.6939980900457895,1.1249999999999973
26,7,0.6881557666305346,1.1299999999999972
27,14,0.6881557666305345,1.1349999999999971
28,12,0.6803660020768613,1.139999999999997
29,9,0.6621898847849572,1.144999999999997
30,7,0.6640155233576064,1.1499999999999968
31,12,0.6803660020768613,1.1549999999999967
32,11,0.6897896435739581,1.1599999999999966
33,10,0.7021773428271463,1.1649999999999965
34,9,0.6985421193687655,1.1699999999999964
35,16,0.6952466849519202,1.1749999999999963
36,14,0.6895827322375412,1.1799999999999962
37,10,0.6883562538425777,1.184999999999996
38,10,0.6883562538425777,1.189999999999996
39,9,0.6831853538303558,1.1949999999999958
40,16,0.6992347308833687,1.1999999999999957
41,11,0.6983877842983207,1.2049999999999956
42,9,0.7078517030800175,1.2099999999999955
43,16,0.702612228759434,1.2149999999999954
44,15,0.697538005986219,1.2199999999999953
45,28,0.7069398170536577,1.2249999999999952
46,23,0.7118439647619098,1.229999999999995
47,40,0.7061948455630556,1.234999999999995
48,36,0.707699947489512,1.2399999999999949
49,30,0.7131667365720421,1.2449999999999948
50,26,0.7090387377741175,1.2499999999999947
51,18,0.7146136079590362,1.2549999999999946
52,30,0.70751235875645,1.2599999999999945
53,21,0.7089192083850425,1.2649999999999944
54,16,0.7101147369209642,1.2699999999999942
55,13,0.716564702863191,1.2749999999999941
56,22,0.710640028949467,1.279999999999994
57,20,0.7156648056697767,1.284999999999994
58,15,0.7177884322577592,1.2899999999999938
59,12,0.7266943191960372,1.2949999999999937
60,10,0.7230565603949207,1.2999999999999936
61,18,0.7206069444871862,1.3049999999999935
62,13,0.7281103795320752,1.3099999999999934
63,9,0.7239609742771916,1.3149999999999933
64,8,0.7213182081162741,1.3199999999999932
65,14,0.7165248274970752,1.324999999999993
66,13,0.7143264985688094,1.329999999999993
67,10,0.7234630774710784,1.3349999999999929
68,8,0.7180530709477151,1.3399999999999928
69,7,0.7156471733755924,1.3449999999999926
70,12,0.7080120200483094,1.3499999999999925
71,9,0.6968315178026556,1.3549999999999924
72,9,0.6968315178026557,1.3599999999999923
73,7,0.6867712214919014,1.3649999999999922
74,12,0.7069143165668722,1.3699999999999921
75,11,0.7197326497963991,1.374999999999992
76,10,0.7337974054941065,1.379999999999992
77,9,0.731455798054489,1.3849999999999918
78,7,0.7323551309089286,1.3899999999999917
79,12,0.7328825267557472,1.3949999999999916
80,9,0.7306259265375232,1.3999999999999915
81,9,0.7291623218956068,1.4049999999999914
82,8,0.7300923731106419,1.4099999999999913
83,16,0.730092373110642,1.4149999999999912
84,14,0.7303472645458836,1.419999999999991
85,10,0.7309863925858435,1.424999999999991
86,8,0.731655957466317,1.4299999999999908
87,7,0.7283393981828387,1.4349999999999907
88,14,0.7283393981828385,1.4399999999999906
89,10,0.7276713965583096,1.4449999999999905
90,8,0.7291587676540555,1.4499999999999904
91,14,0.7283393981828385,1.4549999999999903
92,13,0.7278351708159357,1.4599999999999902
93,24,0.7283446090359867,1.46499999999999
94,19,0.7287008511806605,1.46999999999999
95,18,0.7272469055545492,1.4749999999999899
96,16,0.7279375297269521,1.4799999999999898
97,24,0.7258629866831957,1.4849999999999897
98,21,0.7273830934529596,1.4899999999999896
99,15,0.729647565964013,1.4949999999999894
100,12,0.7288664827215733,1.4999999999999893
101,20,0.7302953968308226,1.5049999999999892
102,18,0.7312480062369888,1.5099999999999891
103,14,0.7278458297863951,1.514999999999989
104,11,0.7295159891348685,1.519999999999989
105,9,0.7275646773175067,1.5249999999999888
106,16,0.7282950229602793,1.5299999999999887
107,12,0.7261039860319616,1.5349999999999886
108,9,0.7275646773175067,1.5399999999999885
109,8,0.7282950229602794,1.5449999999999884
110,16,0.7282950229602793,1.5499999999999883
111,14,0.7292340387867011,1.5549999999999882
112,10,0.7269804008032887,1.559999999999988
113,8,0.7282950229602794,1.564999999999988
114,14,0.7292340387867011,1.5699999999999878
115,13,0.725766903427605,1.5749999999999877
116,10,0.7217219121753262,1.5799999999999876
117,9,0.7217219121753262,1.5849999999999875
118,8,0.7217219121753262,1.5899999999999874
119,14,0.7217219121753261,1.5949999999999873
120,10,0.7217219121753262,1.5999999999999872
121,8,0.7217219121753262,1.604999999999987
122,7,0.7217219121753262,1.609999999999987
123,7,0.7217219121753262,1.614999999999987
124,14,0.7217219121753261,1.6199999999999868
125,9,0.7217219121753262,1.6249999999999867
126,7,0.7217219121753262,1.6299999999999866
127,12,0.7217219121753261,1.6349999999999865
128,11,0.7217219121753261,1.6399999999999864
129,20,0.7182196223701753,1.6449999999999863
130,16,0.7217219121753261,1.6499999999999861
131,15,0.7217219121753261,1.654999999999986
132,13,0.7217219121753261,1.659999999999986
133,10,0.7217219121753262,1.6649999999999858
134,18,0.723387684613694,1.6699999999999857
135,14,0.7238636195960849,1.6749999999999856
136,10,0.7247203025643885,1.6799999999999855
137,9,0.7250534570520621,1.6849999999999854
138,16,0.725469900161654,1.6899999999999853
139,14,0.723863619596085,1.6949999999999852
140,10,0.7217219121753262,1.699999999999985
141,8,0.7217219121753262,1.704999999999985
142,7,0.7217219121753262,1.7099999999999849
143,12,0.7217219121753261,1.7149999999999848
144,9,0.7217219121753262,1.7199999999999847
145,7,0.7217219121753262,1.7249999999999845
146,12,0.7272653025994192,1.7299999999999844
147,11,0.7277692471834277,1.7349999999999843
148,20,0.7283739806842378,1.7399999999999842
149,17,0.7295478751269869,1.7449999999999841
150,15,0.730591336853875,1.749999999999984
151,26,0.7299079068589626,1.754999999999984
152,22,0.7313962695287148,1.7599999999999838
153,19,0.7329237996371445,1.7649999999999837
154,26,0.7357658254866057,1.7699999999999836
155,22,0.735295596766424,1.7749999999999835
