time,population_size,avg_fitness,difficulty
0,9,0.5872514668377894,1.0
1,18,0.5773720257863293,1.001
2,15,0.5796261282809775,1.0019999999999998
3,12,0.6070998021116691,1.0029999999999997
4,10,0.6324231482326922,1.0039999999999996
5,18,0.619051145942794,1.0049999999999994
6,16,0.6290869332415638,1.0059999999999993
7,11,0.6093455161629756,1.0069999999999992
8,9,0.5996490878322889,1.0079999999999991
9,16,0.6153348633243844,1.008999999999999
10,15,0.6194113033585563,1.009999999999999
11,12,0.6048316392125037,1.0109999999999988
12,9,0.6037992414593458,1.0119999999999987
13,16,0.6055936496637956,1.0129999999999986
14,14,0.6066645574733317,1.0139999999999985
15,10,0.5818107597616062,1.0149999999999983
16,9,0.5439264672192733,1.0159999999999982
17,8,0.5350180285011602,1.0169999999999981
18,14,0.5487804059110067,1.017999999999998
19,10,0.5409173925395413,1.018999999999998
20,10,0.5204815664291471,1.0199999999999978
21,9,0.5295704752954706,1.0209999999999977
22,8,0.5379748199397677,1.0219999999999976
23,16,0.5379748199397677,1.0229999999999975
24,12,0.5396206016207912,1.0239999999999974
25,9,0.5453040150479032,1.0249999999999972
26,8,0.5350180285011602,1.0259999999999971
27,14,0.5430112665022326,1.026999999999997
28,13,0.53650506335457,1.027999999999997
29,9,0.5406744728368313,1.0289999999999968
30,7,0.5428281373539143,1.0299999999999967
31,12,0.5221838303720605,1.0309999999999966
32,11,0.5297749616211356,1.0319999999999965
33,9,0.5220549867162623,1.0329999999999964
34,8,0.5247964153363005,1.0339999999999963
35,7,0.5370985622940242,1.0349999999999961
36,12,0.5221838303720605,1.035999999999996
37,9,0.5154857661252231,1.036999999999996
38,9,0.5006886634533918,1.0379999999999958
39,7,0.5150258380438852,1.0389999999999957
40,12,0.5277499132791603,1.0399999999999956
41,11,0.5358470520652445,1.0409999999999955
42,10,0.5251277924981512,1.0419999999999954
43,9,0.513854552350634,1.0429999999999953
44,8,0.5202944066268265,1.0439999999999952
45,16,0.5235834428913976,1.044999999999995
46,12,0.5342541367525827,1.045999999999995
47,9,0.5450364604446275,1.0469999999999948
48,8,0.5298292705945763,1.0479999999999947
49,16,0.5298292705945764,1.0489999999999946
50,14,0.5343866111552552,1.0499999999999945
51,10,0.5232382875182312,1.0509999999999944
52,8,0.5259446066397977,1.0519999999999943
53,7,0.5058375534104778,1.0529999999999942
54,12,0.5130878592887084,1.053999999999994
55,9,0.5267863231463263,1.054999999999994
56,7,0.535031590711041,1.0559999999999938
57,12,0.512369033543154,1.0569999999999937
58,11,0.5169175167615231,1.0579999999999936
59,20,0.497543489018355,1.0589999999999935
60,16,0.5045347911924027,1.0599999999999934
61,15,0.494299239252004,1.0609999999999933
62,13,0.48478478340252296,1.0619999999999932
63,9,0.4836338584318533,1.062999999999993
64,16,0.47739808383601556,1.063999999999993
65,12,0.48000468500729926,1.0649999999999928
66,9,0.475724487647691,1.0659999999999927
67,9,0.472505571122771,1.0669999999999926
68,8,0.47377680274548056,1.0679999999999925
69,16,0.47377680274548056,1.0689999999999924
70,11,0.4737099777976051,1.0699999999999923
71,9,0.47719602538201333,1.0709999999999922
72,8,0.47015552165494556,1.071999999999992
73,8,0.47015552165494556,1.072999999999992
74,16,0.4701555216549456,1.0739999999999919
75,11,0.4744941513382098,1.0749999999999917
76,9,0.47719602538201333,1.0759999999999916
77,16,0.47254066682483337,1.0769999999999915
78,15,0.4732209967370826,1.0779999999999914
79,28,0.47601982636922546,1.0789999999999913
80,22,0.47651620420155855,1.0799999999999912
81,19,0.4796632187318057,1.080999999999991
82,17,0.4780218406771359,1.081999999999991
83,13,0.479912776632979,1.0829999999999909
84,11,0.4774214756214299,1.0839999999999907
85,12,0.48999294018837625,1.0849999999999906
86,9,0.48501412425241597,1.0859999999999905
87,8,0.48784892501633115,1.0869999999999904
88,14,0.4873503210231102,1.0879999999999903
89,12,0.4915194215034462,1.0889999999999902
90,11,0.49417248544547815,1.08999999999999
91,18,0.49495880345667165,1.09099999999999
92,15,0.49893926567190683,1.0919999999999899
93,26,0.4967981137694861,1.0929999999999898
94,21,0.4962291075826971,1.0939999999999896
95,18,0.49164127759715703,1.0949999999999895
96,16,0.4917744663729746,1.0959999999999894
97,26,0.49346532434475093,1.0969999999999893
98,23,0.4958664763400887,1.0979999999999892
99,17,0.4995165494019278,1.098999999999989
100,13,0.5016633027620409,1.099999999999989
101,11,0.4971973172780778,1.1009999999999889
102,18,0.4970349685243563,1.1019999999999888
103,13,0.5005604928597259,1.1029999999999887
104,10,0.5049094915695692,1.1039999999999885
105,9,0.49703496852435625,1.1049999999999884
106,16,0.5013723748222639,1.1059999999999883
107,15,0.5002094787010724,1.1069999999999882
108,11,0.49206276286907386,1.107999999999988
109,9,0.4986687728086248,1.108999999999988
